Cluster,bin_frac_corr,er_bin_frac,bin_frac_05_corr,er_bin_frac_05,rh,e_rh,t_relax,e_t_relax,tau,e_tau,benchmark
UBC_347,0.52,0.24,0.49,0.23,1.53,0.21,7.93,1.81,67.29,35.01,False
UBC_356,0.48,0.22,0.44,0.22,2.76,0.25,20.32,3.38,7.35,2.49,False
UBC_36,0.38,0.08,0.31,0.07,1.55,0.25,7.4,1.91,64.49,33.64,False
UBC_361,0.27,0.09,0.24,0.09,2.56,0.4,20.25,5.17,3.56,1.56,False
UBC_364,0.52,0.27,0.49,0.25,2.33,0.5,12.64,4.23,41.44,14.73,False
UBC_366,0.45,0.06,0.41,0.06,2.77,0.38,22.96,5.23,19.5,4.9,False
UBC_373,0.38,0.19,0.35,0.18,1.58,0.27,8.49,2.31,1.94,0.59,False
UBC_378,0.39,0.15,0.35,0.14,4.65,0.51,42.36,8.16,12.22,7.21,False
UBC_381,0.47,0.26,0.43,0.25,2.87,0.48,16.5,4.49,6.1,3.38,False
UBC_382,0.51,0.05,0.46,0.05,2.58,0.26,19.35,3.53,11.31,6.65,False
UBC_386,0.41,0.15,0.37,0.15,2.34,0.28,18.1,3.71,0.43,0.09,False
UBC_387,0.45,0.25,0.41,0.24,2.53,0.46,13.55,3.97,27.35,11.42,False
UBC_389,0.4,0.24,0.37,0.2,2.26,0.27,12.04,2.48,9.72,4.76,False
UBC_395,0.39,0.12,0.37,0.12,4.56,0.44,48.79,8.57,0.63,1.09,False
UBC_396,0.38,0.09,0.31,0.09,1.73,0.47,6.4,2.7,2.12,1.03,False
UBC_397,0.42,0.22,0.38,0.19,2.08,0.39,9.28,2.77,1.25,0.88,False
UBC_41,0.47,0.09,0.42,0.08,1.66,0.29,7.29,2.04,13.21,5.59,False
UBC_413,0.38,0.21,0.32,0.19,2.12,0.28,10.1,2.27,7.56,4.64,False
UBC_422,0.38,0.1,0.35,0.09,8.7,0.77,126.86,21.0,0.2,0.13,False
UBC_424,0.51,0.27,0.47,0.23,3.09,0.44,24.78,5.89,19.9,10.52,False
UBC_429,0.69,0.06,0.62,0.06,2.34,0.47,14.31,4.56,47.47,37.0,False
UBC_433,0.67,0.23,0.6,0.17,5.43,0.51,58.31,10.08,21.89,3.89,False
UBC_436,0.54,0.03,0.5,0.03,6.42,0.49,94.33,14.26,6.0,1.56,False
UBC_437,0.42,0.17,0.38,0.14,5.71,0.55,72.94,12.74,0.92,0.68,False
UBC_439,0.62,0.05,0.58,0.05,5.68,0.55,56.81,9.96,5.05,1.01,False
UBC_442,0.68,0.29,0.61,0.24,3.79,0.4,31.78,6.0,28.23,7.18,False
UBC_445,0.68,0.05,0.62,0.05,4.26,0.63,37.62,9.14,15.72,5.26,False
UBC_448,0.54,0.03,0.51,0.03,5.77,0.3,73.39,9.31,11.36,3.19,False
UBC_449,0.5,0.26,0.46,0.19,5.92,0.68,84.44,16.78,10.29,2.89,False
UBC_450,0.39,0.13,0.37,0.14,8.17,0.41,167.13,20.81,0.52,0.2,False
UBC_451,0.47,0.28,0.4,0.24,3.06,0.61,18.46,5.75,16.06,5.43,False
UBC_460,0.41,0.15,0.38,0.12,8.19,0.37,150.31,18.19,0.26,0.05,False
UBC_462,0.43,0.13,0.39,0.12,6.54,0.5,82.26,12.49,2.37,1.21,False
UBC_467,0.4,0.14,0.37,0.13,6.62,0.87,81.18,17.99,17.12,3.84,False
UBC_472,0.4,0.2,0.35,0.17,2.39,0.35,14.5,3.49,77.19,23.82,False
UBC_475,0.38,0.06,0.32,0.06,1.59,0.27,8.01,2.23,16.04,6.72,False
UBC_479,0.53,0.17,0.5,0.16,3.06,0.39,25.59,5.49,0.69,0.18,False
UBC_483,0.29,0.15,0.26,0.14,2.52,0.43,14.19,3.87,2.23,1.26,False
UBC_484,0.44,0.06,0.4,0.06,2.66,0.39,16.55,3.97,8.09,6.34,False
UBC_485,0.45,0.22,0.39,0.17,2.81,0.4,20.4,4.84,21.7,9.8,False
UBC_493,0.49,0.26,0.45,0.25,2.88,0.34,17.95,3.65,45.59,13.24,False
UBC_496,0.45,0.27,0.39,0.24,2.9,0.34,21.88,4.36,7.16,3.35,False
UBC_499,0.41,0.15,0.37,0.13,5.64,0.37,70.64,9.86,0.33,0.06,False
UBC_500,0.43,0.04,0.4,0.04,6.43,0.26,81.52,9.5,2.5,1.3,False
UBC_502,0.37,0.13,0.34,0.13,2.22,0.29,16.06,3.53,29.66,10.58,False
UBC_503,0.46,0.06,0.41,0.06,2.31,0.55,15.52,5.79,81.12,31.12,False
UBC_514,0.63,0.25,0.57,0.23,6.81,0.56,82.65,13.1,37.82,9.0,False
UBC_520,0.43,0.06,0.4,0.06,2.14,0.35,12.14,3.22,46.34,18.84,False
UBC_521,0.31,0.11,0.27,0.1,3.46,0.42,30.51,6.29,18.56,14.12,False
UBC_527,0.46,0.26,0.42,0.07,1.91,0.23,10.92,2.25,18.61,8.61,False
UBC_532,0.3,0.15,0.26,0.12,1.12,0.24,4.43,1.47,14.47,9.99,False
UBC_533,0.46,0.08,0.42,0.08,1.83,0.24,11.11,2.47,21.49,10.9,False
UBC_534,0.41,0.16,0.37,0.16,3.15,0.37,26.05,5.21,4.3,2.41,False
UBC_557,0.38,0.16,0.33,0.12,3.09,0.26,23.37,3.75,1.64,0.42,False
UBC_563,0.4,0.07,0.36,0.06,1.18,0.14,5.92,1.18,24.47,17.48,False
UBC_57,0.53,0.07,0.49,0.07,1.79,0.28,9.98,2.56,165.15,44.94,False
UBC_574,0.34,0.07,0.31,0.08,2.85,0.08,35.6,3.83,11.58,9.89,False
UBC_576,0.41,0.23,0.37,0.22,1.05,0.21,3.57,1.11,7.25,7.11,False
UBC_582,0.42,0.08,0.37,0.07,1.25,0.13,5.24,0.95,3.53,0.77,False
UBC_586,0.36,0.13,0.32,0.11,8.45,0.7,118.59,18.9,9.98,2.85,False
UBC_591,0.4,0.07,0.37,0.07,0.92,0.17,3.1,0.93,39.38,24.21,False
UBC_599,0.73,0.08,0.65,0.08,2.54,0.6,12.8,4.67,23.98,14.35,False
UBC_615,0.54,0.03,0.5,0.03,11.91,0.36,321.17,35.2,10.48,2.39,False
UBC_626,0.52,0.18,0.49,0.16,9.05,0.87,166.03,29.16,4.25,0.94,False
UBC_63,0.44,0.06,0.38,0.21,3.38,0.38,26.28,5.13,0.85,0.18,False
UBC_634,0.47,0.06,0.42,0.06,4.22,0.32,34.46,5.2,1.89,1.1,False
UBC_636,0.4,0.2,0.34,0.16,4.67,0.52,54.47,10.52,12.44,3.13,False
UBC_641,0.39,0.12,0.37,0.12,7.47,0.55,89.96,13.38,0.27,0.11,False
UBC_643,0.44,0.15,0.39,0.16,3.11,0.29,20.48,3.53,18.27,12.96,False
UBC_68,0.48,0.05,0.43,0.05,2.53,0.37,17.19,4.13,6.99,2.72,False
UBC_80,0.4,0.24,0.34,0.21,5.07,0.68,46.37,10.39,1.03,0.41,False
UFMG_34,0.52,0.18,0.48,0.16,1.72,0.21,8.78,1.82,98.46,24.92,False
UFMG_58,0.4,0.16,0.37,0.15,2.94,0.75,16.4,6.49,17.23,7.64,False
UFMG_59,0.46,0.1,0.41,0.1,0.82,0.29,2.73,1.46,29.07,20.55,False
UPK_12,0.49,0.06,0.44,0.06,1.93,0.3,13.93,3.5,17.74,6.74,True
UPK_155,0.37,0.13,0.33,0.13,11.83,1.21,221.31,40.55,0.71,0.18,False
UPK_16,0.44,0.21,0.39,0.2,4.37,0.81,46.28,13.56,4.78,3.42,True
UPK_169,0.67,0.05,0.6,0.05,4.44,1.14,45.94,18.31,0.32,0.26,False
UPK_17,0.42,0.2,0.37,0.16,3.15,0.38,26.33,5.41,17.93,7.28,False
UPK_178,0.38,0.2,0.33,0.2,1.29,0.36,6.37,2.72,23.71,11.69,False
UPK_18,0.74,0.06,0.66,0.06,1.79,0.31,13.57,3.73,45.24,57.1,False
UPK_180,0.72,0.05,0.64,0.3,9.74,1.5,181.56,45.66,0.97,0.33,False
UPK_21,0.3,0.17,0.27,0.17,2.38,0.37,12.1,3.08,62.7,16.68,False
UPK_219,0.45,0.28,0.41,0.26,4.3,0.68,34.46,8.84,5.86,1.68,False
UPK_220,0.38,0.11,0.35,0.09,2.83,0.22,24.77,3.84,1.21,0.83,False
UPK_23,0.75,0.07,0.66,0.07,2.88,0.45,19.48,4.98,5.98,1.87,False
UPK_230,0.36,0.08,0.29,0.08,4.14,0.89,31.52,10.64,2.0,1.78,False
UPK_24,0.69,0.29,0.62,0.28,7.69,1.28,107.07,28.87,5.09,3.99,False
UPK_265,0.67,0.3,0.6,0.26,5.05,0.8,53.03,13.68,3.96,1.22,False
UPK_28,0.3,0.15,0.26,0.13,1.52,0.49,7.23,3.59,4.0,3.66,False
UPK_282,0.38,0.07,0.31,0.07,2.0,0.37,15.02,4.44,16.95,6.17,True
UPK_29,0.3,0.15,0.26,0.15,1.84,0.18,11.92,2.09,29.49,18.07,False
UPK_294,0.73,0.06,0.65,0.07,10.35,1.49,139.65,33.19,1.45,0.62,False
UPK_296,0.44,0.06,0.4,0.23,7.92,1.22,122.47,30.59,2.19,0.7,True
UPK_312,0.68,0.08,0.61,0.08,4.75,1.38,44.47,19.8,11.61,7.08,False
UPK_33,0.41,0.22,0.36,0.21,1.79,0.22,10.28,2.18,10.37,7.25,False
UPK_333,0.62,0.06,0.57,0.06,4.58,0.62,44.79,10.13,15.27,7.03,False
UPK_379,0.43,0.06,0.39,0.06,9.49,2.49,156.22,63.32,0.89,0.93,False
UPK_38,0.34,0.21,0.28,0.19,0.83,0.21,3.71,1.47,2.84,1.24,False
UPK_381,0.46,0.25,0.41,0.21,6.8,1.41,91.84,29.95,4.38,1.48,True
UPK_385,0.26,0.16,0.23,0.15,1.71,0.38,13.71,4.7,1.99,0.89,False
UPK_394,0.53,0.06,0.47,0.06,2.06,0.36,17.82,5.0,17.42,8.62,True
UPK_40,0.54,0.2,0.49,0.18,9.07,1.26,145.36,33.47,3.28,1.33,False
UPK_418,0.36,0.07,0.3,0.18,5.74,1.21,63.83,21.17,1.57,0.52,True
UPK_42,0.45,0.18,0.4,0.16,1.98,0.23,17.09,3.44,15.68,4.4,False
UPK_429,0.5,0.04,0.45,0.22,7.18,1.12,152.07,38.58,0.66,0.17,True
UPK_431,0.49,0.04,0.46,0.04,9.08,1.14,197.74,42.0,0.51,0.13,True
UPK_433,0.42,0.05,0.35,0.05,4.76,0.67,57.52,13.42,6.67,1.81,True
UPK_436,0.52,0.14,0.49,0.13,9.43,0.64,224.8,31.88,0.24,0.08,True
UPK_445,0.7,0.05,0.63,0.05,3.86,0.75,51.91,15.99,0.28,0.09,False
UPK_45,0.34,0.16,0.28,0.14,3.06,0.47,26.61,6.73,7.16,4.38,False
UPK_46,0.45,0.24,0.41,0.21,4.17,0.57,41.38,9.43,7.05,2.3,False
UPK_467,0.43,0.04,0.4,0.04,6.54,0.61,120.83,20.7,0.83,0.14,True
UPK_495,0.7,0.04,0.63,0.04,13.26,1.39,343.9,63.84,2.82,0.77,True
UPK_50,0.47,0.14,0.44,0.15,4.8,0.31,60.5,8.47,2.71,1.14,False
UPK_502,0.39,0.2,0.35,0.19,1.67,0.24,12.16,2.91,23.6,13.71,True
UPK_508,0.43,0.24,0.37,0.22,2.33,0.56,15.31,5.68,22.39,13.12,False
UPK_524,0.48,0.16,0.43,0.13,12.51,0.97,360.13,54.86,1.22,0.6,True
UPK_528,0.44,0.06,0.37,0.19,1.96,0.44,13.12,4.65,21.67,12.24,False
UPK_533,0.42,0.14,0.38,0.15,5.91,0.68,108.58,21.65,2.62,1.38,True
UPK_535,0.47,0.03,0.44,0.03,8.05,0.69,219.25,35.51,0.24,0.06,True
UPK_537,0.49,0.15,0.45,0.14,7.66,0.73,132.07,22.95,1.68,0.61,False
UPK_54,0.63,0.16,0.57,0.15,4.43,0.43,60.12,10.69,3.36,0.8,False
UPK_542,0.74,0.06,0.66,0.06,8.68,1.08,157.16,33.0,3.77,1.82,False
UPK_55,0.39,0.18,0.32,0.15,3.37,0.51,29.1,7.26,10.57,4.99,False
UPK_552,0.41,0.19,0.35,0.16,3.44,0.64,37.94,11.17,7.21,2.52,True
UPK_560,0.4,0.1,0.38,0.11,14.6,1.19,469.06,74.13,1.13,0.32,True
UPK_562,0.47,0.13,0.42,0.13,9.64,0.8,205.34,32.68,1.13,0.46,True
UPK_567,0.37,0.17,0.31,0.15,5.83,1.12,89.25,27.15,5.11,2.26,False
UPK_578,0.51,0.26,0.48,0.24,1.67,0.3,9.14,2.64,88.13,27.85,False
UPK_585,0.67,0.28,0.61,0.3,4.17,1.36,44.77,22.4,6.31,3.46,True
UPK_604,0.44,0.07,0.38,0.21,3.71,0.43,35.0,7.03,0.3,0.14,False
UPK_605,0.49,0.2,0.44,0.18,1.66,0.3,12.54,3.65,29.98,13.07,True
UPK_613,0.81,0.08,0.7,0.08,2.68,0.55,19.04,6.19,12.8,6.16,False
UPK_614,0.45,0.22,0.41,0.06,4.06,0.7,45.0,12.41,6.6,3.05,True
UPK_617,0.36,0.2,0.31,0.16,1.95,0.26,17.49,3.86,11.2,6.23,False
UPK_62,0.38,0.18,0.32,0.18,1.68,0.33,7.93,2.44,28.87,23.91,False
UPK_621,0.36,0.1,0.33,0.08,9.83,0.86,204.28,33.7,0.73,0.34,False
UPK_626,0.49,0.06,0.42,0.06,3.48,0.69,35.92,11.21,9.41,3.25,False
UPK_629,0.39,0.12,0.35,0.11,17.28,1.48,328.33,53.18,0.34,0.09,False
UPK_640,0.31,0.02,0.27,0.02,2.23,0.22,35.9,6.43,0.68,0.14,True
UPK_65,0.73,0.08,0.65,0.08,2.84,0.67,21.46,7.87,11.6,5.12,False
UPK_654,0.35,0.15,0.29,0.15,2.58,0.25,27.97,4.92,11.76,5.0,True
UPK_82,0.37,0.12,0.34,0.1,3.88,0.4,58.75,10.82,2.24,0.8,True
UPK_84,0.43,0.05,0.39,0.05,4.53,0.48,55.65,10.47,20.44,4.28,True
UPK_93,0.71,0.38,0.63,0.29,4.01,0.78,52.93,16.34,11.02,4.13,True
UPK_94,0.38,0.19,0.32,0.17,4.19,0.55,41.5,9.12,10.18,4.8,False
vdBergh_130,0.43,0.17,0.41,0.16,1.31,0.13,6.09,1.12,0.91,0.32,False
vdBergh_80,0.43,0.14,0.4,0.12,2.24,0.4,19.75,5.68,0.43,0.17,False
vdBergh_92,0.29,0.05,0.26,0.06,2.47,0.25,36.94,6.77,0.18,0.05,False
