Cluster,bin_frac_corr,er_bin_frac,bin_frac_05_corr,er_bin_frac_05,rh,e_rh,t_relax,e_t_relax,tau,e_tau,benchmark
FSR_0883,0.43,0.15,0.37,0.15,2.13,0.17,14.48,2.29,13.25,9.99,False
FSR_0893,0.43,0.1,0.4,0.09,4.01,0.25,44.93,6.2,8.62,1.83,False
FSR_0904,0.45,0.03,0.41,0.03,3.67,0.31,35.19,5.65,0.43,0.07,False
FSR_0905,0.4,0.22,0.35,0.2,1.52,0.21,8.72,2.0,68.8,18.45,False
FSR_0935,0.47,0.25,0.43,0.2,1.85,0.22,10.2,2.12,61.32,17.23,False
FSR_0948,0.7,0.06,0.63,0.06,2.0,0.25,11.24,2.35,39.85,12.54,False
FSR_0951,0.46,0.03,0.43,0.03,4.84,0.33,71.55,10.21,8.66,5.37,False
FSR_0968,0.55,0.07,0.5,0.07,2.18,0.2,12.14,2.03,3.71,1.21,False
FSR_0974,0.5,0.04,0.47,0.04,2.66,0.32,21.42,4.41,1.01,1.31,False
FSR_0977,0.52,0.28,0.48,0.27,0.69,0.17,1.48,0.56,574.25,340.26,False
FSR_0985,0.52,0.26,0.47,0.22,1.02,0.17,4.39,1.17,88.98,57.21,False
FSR_1085,0.56,0.06,0.5,0.06,1.14,0.17,6.53,1.57,23.34,9.3,False
FSR_1144,0.44,0.05,0.39,0.05,1.75,0.23,11.82,2.57,15.22,7.19,False
FSR_1150,0.46,0.19,0.42,0.18,1.87,0.22,10.75,2.2,58.42,18.71,False
FSR_1163,0.48,0.05,0.45,0.05,4.65,0.43,41.26,7.07,23.74,4.87,False
FSR_1180,0.41,0.11,0.38,0.11,3.74,0.15,43.86,5.09,11.77,6.54,False
FSR_1211,0.42,0.15,0.39,0.14,2.16,0.38,14.3,4.06,89.04,150.36,False
FSR_1252,0.55,0.04,0.52,0.04,2.75,0.21,22.33,3.35,44.58,7.54,False
FSR_1253,0.53,0.04,0.49,0.04,3.82,0.32,32.95,5.3,9.42,2.68,False
FSR_1284,0.38,0.18,0.33,0.17,1.98,0.28,11.65,2.76,65.41,17.27,False
FSR_1342,0.4,0.12,0.37,0.12,2.02,0.19,10.99,1.9,1.26,0.29,False
FSR_1360,0.37,0.19,0.34,0.18,1.63,0.15,8.85,1.52,12.16,3.7,False
FSR_1361,0.38,0.08,0.35,0.07,4.65,0.28,77.47,10.43,7.09,1.3,False
FSR_1363,0.43,0.06,0.38,0.06,1.86,0.17,9.99,1.67,8.84,4.14,False
FSR_1399,0.45,0.24,0.4,0.2,1.62,0.32,6.23,1.96,94.74,54.13,False
FSR_1443,0.52,0.08,0.47,0.08,2.35,0.26,14.65,2.84,28.65,28.45,False
FSR_1484,0.46,0.22,0.42,0.2,1.21,0.24,4.76,1.49,55.05,31.27,False
FSR_1723,0.51,0.04,0.48,0.04,0.98,0.13,4.9,1.06,26.82,7.15,False
Gulliver_1,0.44,0.11,0.4,0.1,5.53,0.48,82.3,13.48,16.09,2.99,False
Gulliver_11,0.47,0.07,0.42,0.07,2.03,0.58,15.74,6.88,13.93,11.28,False
Gulliver_12,0.46,0.07,0.43,0.07,4.22,0.37,37.8,6.21,4.4,1.85,False
Gulliver_13,0.46,0.25,0.43,0.2,3.41,0.5,28.67,6.89,22.78,17.16,False
Gulliver_14,0.26,0.14,0.23,0.12,4.04,0.58,41.27,9.74,11.39,3.39,False
Gulliver_17,0.29,0.08,0.25,0.09,2.37,0.29,25.31,5.25,4.13,1.16,False
Gulliver_18,0.33,0.06,0.3,0.05,4.18,0.34,72.12,11.36,1.6,0.26,False
Gulliver_20,0.44,0.05,0.38,0.21,4.88,0.47,71.47,12.59,9.97,2.63,True
Gulliver_21,0.3,0.1,0.26,0.1,3.26,0.43,43.37,9.7,3.47,1.61,True
Gulliver_24,0.36,0.18,0.31,0.16,2.29,0.29,20.45,4.43,9.02,4.42,False
Gulliver_25,0.47,0.05,0.42,0.05,8.6,2.08,122.1,45.91,2.43,1.46,False
Gulliver_26,0.48,0.18,0.44,0.17,3.01,0.63,22.26,7.38,21.02,11.42,False
Gulliver_27,0.45,0.04,0.42,0.04,2.69,0.35,24.99,5.44,6.34,3.18,False
Gulliver_28,0.7,0.05,0.64,0.05,4.71,0.75,63.37,16.5,15.82,17.57,False
Gulliver_31,0.34,0.14,0.3,0.13,2.23,0.23,16.6,3.08,10.69,3.46,False
Gulliver_32,0.56,0.07,0.52,0.07,3.24,0.49,23.59,5.86,23.13,29.12,False
Gulliver_35,0.49,0.2,0.46,0.19,2.77,0.53,21.0,6.34,5.87,3.5,False
Gulliver_36,0.43,0.15,0.39,0.13,2.9,0.22,30.3,4.65,23.31,8.37,False
Gulliver_37,0.4,0.16,0.38,0.16,2.88,0.47,23.94,6.29,7.62,3.46,False
Gulliver_39,0.4,0.17,0.36,0.15,2.26,0.36,11.84,3.07,60.09,29.04,False
Gulliver_40,0.29,0.18,0.25,0.17,1.92,0.34,10.29,2.92,7.74,4.25,False
Gulliver_44,0.42,0.14,0.39,0.11,3.24,0.35,37.91,7.18,16.19,4.71,False
Gulliver_47,0.42,0.04,0.39,0.04,6.81,0.71,96.65,17.93,4.32,0.89,False
Gulliver_5,0.53,0.22,0.49,0.2,4.26,0.64,30.34,7.47,0.4,0.11,False
Gulliver_50,0.44,0.04,0.41,0.04,3.84,0.53,47.05,10.82,2.24,0.93,False
Gulliver_56,0.43,0.06,0.38,0.06,2.66,0.23,18.66,3.06,17.74,6.42,False
Gulliver_59,0.47,0.04,0.44,0.04,4.96,0.47,60.04,10.48,1.74,1.43,False
Gulliver_6,0.25,0.07,0.23,0.06,3.52,0.44,67.35,14.37,0.2,0.04,True
Gulliver_60,0.29,0.1,0.26,0.1,2.23,0.22,20.74,3.67,4.73,2.12,False
Gulliver_8,0.32,0.18,0.26,0.17,0.74,0.45,2.52,2.33,10.84,10.18,False
Haffner_13,0.36,0.03,0.33,0.02,3.11,0.21,55.07,7.76,0.63,0.1,True
Haffner_16,0.49,0.13,0.44,0.11,1.39,0.17,9.54,2.03,22.1,17.48,False
Haffner_20,0.66,0.06,0.6,0.06,1.13,0.15,4.49,1.0,41.55,27.9,False
Haffner_21,0.46,0.16,0.42,0.15,1.21,0.15,7.14,1.52,89.22,22.06,False
Haffner_23,0.39,0.04,0.34,0.15,5.05,0.57,59.47,11.64,8.33,2.47,False
Haffner_26,0.48,0.04,0.42,0.04,3.7,0.26,35.13,5.14,18.81,3.16,False
Haffner_3,0.54,0.25,0.5,0.24,1.77,0.15,13.44,2.16,39.23,10.87,False
Haffner_4,0.6,0.15,0.55,0.13,2.21,0.26,13.71,2.77,53.46,53.78,False
Haffner_6,0.39,0.09,0.36,0.09,4.31,0.24,51.1,6.63,8.41,2.57,False
Haffner_7,0.46,0.05,0.43,0.05,2.02,0.31,11.69,2.9,58.91,15.39,False
Haffner_8,0.4,0.04,0.38,0.19,2.18,0.2,18.01,3.1,18.9,7.84,False
Haffner_9,0.39,0.1,0.36,0.1,1.78,0.16,14.56,2.4,6.41,4.08,False
Harvard_10,0.31,0.12,0.29,0.03,3.77,0.23,53.13,7.16,3.48,0.92,False
Harvard_20,0.47,0.04,0.44,0.04,3.63,0.54,33.46,8.17,3.18,1.06,False
Hogg_16,0.37,0.17,0.33,0.17,1.66,0.17,8.35,1.5,3.11,0.69,False
Hogg_22,0.54,0.06,0.51,0.06,1.6,0.38,5.87,2.18,1.5,0.61,False
Hogg_4,0.34,0.05,0.3,0.06,5.01,0.2,80.82,9.38,12.34,1.79,False
IC_1369,0.35,0.07,0.31,0.07,2.03,0.18,17.38,2.84,17.78,9.82,False
IC_1434,0.34,0.07,0.3,0.04,4.43,0.2,78.93,9.47,1.66,1.04,False
IC_1442,0.32,0.06,0.29,0.07,9.09,0.43,162.32,19.94,0.18,0.04,False
IC_1590,0.39,0.11,0.37,0.11,1.28,0.32,6.16,2.37,1.21,0.6,False
IC_2157,0.35,0.19,0.3,0.16,1.52,0.27,8.45,2.4,6.47,4.59,False
IC_2391,0.31,0.02,0.26,0.02,1.68,0.22,21.8,4.78,2.65,0.59,True
IC_2395,0.28,0.08,0.27,0.09,2.65,0.2,38.27,5.74,0.35,0.06,True
IC_2488,0.34,0.08,0.31,0.07,4.25,0.2,82.73,10.12,1.85,0.27,False
IC_2581,0.36,0.14,0.32,0.11,2.28,0.34,16.45,4.06,0.83,0.25,False
IC_2602,0.28,0.03,0.24,0.02,1.99,0.23,27.49,5.45,1.82,0.4,True
IC_2948,0.35,0.1,0.32,0.06,3.7,0.15,44.7,5.25,0.15,0.03,False
IC_361,0.36,0.05,0.33,0.05,3.55,0.14,59.68,6.97,17.31,2.43,False
IC_4665,0.29,0.07,0.25,0.08,2.58,0.19,42.14,6.17,4.83,3.09,False
IC_4996,0.47,0.15,0.44,0.13,0.89,0.12,3.96,0.88,2.68,0.61,False
Juchert_20,0.54,0.19,0.51,0.15,1.74,0.25,10.43,2.51,9.7,14.02,False
Kharchenko_1,0.68,0.05,0.62,0.05,3.1,0.41,24.01,5.29,19.53,5.52,False
King_12,0.42,0.16,0.36,0.16,2.45,0.41,16.22,4.41,1.12,0.39,False
King_13,0.37,0.05,0.34,0.07,3.54,0.17,54.02,6.6,10.65,1.71,False
King_14,0.37,0.14,0.33,0.12,2.09,0.2,14.41,2.53,2.05,0.63,False
King_15,0.39,0.15,0.36,0.13,2.0,0.26,12.83,2.85,7.9,9.93,False
King_16,0.5,0.05,0.44,0.23,1.37,0.31,6.8,2.44,3.51,2.89,False
King_17,0.72,0.07,0.64,0.07,1.46,0.27,6.49,1.94,5.58,6.02,False
King_18,0.42,0.1,0.38,0.08,4.68,0.57,69.76,14.59,3.63,0.86,False
King_19,0.39,0.13,0.34,0.1,2.38,0.23,20.24,3.57,29.43,5.92,False
King_20,0.33,0.13,0.28,0.12,1.75,0.18,10.8,1.99,3.89,1.35,False
King_21,0.45,0.04,0.41,0.18,1.54,0.14,7.37,1.24,2.13,0.64,False
King_4,0.45,0.23,0.41,0.22,1.98,0.2,13.97,2.52,6.0,4.91,False
King_5,0.39,0.08,0.36,0.06,3.69,0.26,57.46,8.36,15.91,2.7,False
King_6,0.38,0.08,0.35,0.08,1.61,0.13,16.53,2.59,7.14,3.36,False
Koposov_10,0.64,0.05,0.57,0.05,1.74,0.18,8.99,1.64,21.14,17.37,False
Koposov_12,0.45,0.03,0.42,0.03,3.42,0.26,38.28,5.82,11.7,3.74,False
Koposov_36,0.42,0.13,0.39,0.11,2.23,0.23,18.09,3.31,2.32,2.27,False
Koposov_43,0.66,0.05,0.6,0.24,4.45,0.49,31.18,6.04,35.17,7.62,False
Kronberger_4,0.48,0.19,0.46,0.18,1.32,0.22,5.32,1.42,152.22,47.96,False
LP_0201,0.39,0.13,0.37,0.13,1.61,0.19,8.35,1.72,2.46,0.82,False
LP_0665,0.45,0.18,0.41,0.16,4.74,0.89,39.87,11.92,28.53,9.24,False
LP_0733,0.4,0.1,0.37,0.11,4.64,0.4,58.06,9.45,0.57,0.1,False
LP_0782,0.53,0.25,0.5,0.21,1.93,0.25,11.89,2.64,15.16,7.03,False
LP_1406,0.62,0.06,0.57,0.06,2.1,0.24,11.27,2.26,39.27,29.46,False
LP_1540,0.44,0.11,0.4,0.1,4.01,0.31,48.16,7.37,30.08,4.94,False
LP_1614,0.33,0.13,0.29,0.1,1.69,0.14,9.56,1.54,6.66,5.28,False
LP_1800,0.4,0.03,0.38,0.03,3.66,0.28,41.75,6.32,4.53,1.36,False
LP_1809,0.5,0.2,0.47,0.19,2.16,0.39,12.41,3.57,17.55,12.83,False
LP_198,0.36,0.06,0.33,0.08,8.9,0.88,212.89,37.95,1.3,0.85,False
LP_1994,0.46,0.14,0.44,0.12,3.32,0.31,40.94,7.08,16.29,3.17,False
LP_2000,0.27,0.08,0.24,0.07,4.23,0.49,52.21,10.48,2.75,0.76,False
LP_2059,0.41,0.03,0.39,0.03,13.54,0.73,406.1,52.27,0.24,0.05,False
LP_2068,0.35,0.09,0.31,0.08,2.85,0.25,27.9,4.59,6.67,1.44,False
LP_2094,0.4,0.04,0.36,0.04,2.34,0.22,19.34,3.32,11.16,3.5,False
LP_2123,0.42,0.15,0.37,0.14,1.53,0.28,8.42,2.48,15.95,5.15,False
LP_2219,0.32,0.06,0.29,0.05,9.9,0.63,266.12,36.61,0.4,0.09,False
LP_2220,0.46,0.04,0.42,0.04,4.48,0.72,56.78,14.85,8.93,2.67,False
LP_2238,0.5,0.04,0.46,0.04,2.19,0.31,17.23,4.03,29.91,12.48,True
LP_2253,0.44,0.15,0.41,0.13,2.23,0.28,18.19,3.85,6.1,2.4,False
LP_2312,0.42,0.2,0.37,0.18,2.19,0.29,14.08,3.12,10.31,5.61,False
LP_2339,0.27,0.11,0.23,0.1,2.61,0.33,23.05,4.91,3.85,2.21,False
LP_589,0.42,0.04,0.4,0.04,3.35,0.44,31.25,6.9,16.11,3.9,False
LP_597,0.41,0.1,0.37,0.08,3.23,0.29,31.77,5.32,19.64,14.22,False
LP_658,0.48,0.04,0.45,0.04,4.29,0.56,48.79,10.78,21.12,4.77,False
LP_866,0.43,0.1,0.39,0.07,2.76,0.26,29.22,5.07,113.6,44.85,False
LP_930,0.42,0.13,0.4,0.11,3.11,0.27,32.03,5.26,49.48,8.85,False
Loden_1194,0.37,0.06,0.3,0.06,2.89,0.36,24.56,5.24,9.61,2.56,False
Loden_372,0.41,0.05,0.37,0.05,2.07,0.23,13.49,2.59,10.44,3.23,False
Loden_46,0.45,0.17,0.42,0.16,8.43,1.6,129.67,39.12,6.34,2.12,True
Lynga_2,0.39,0.04,0.36,0.04,2.25,0.2,20.51,3.43,5.47,1.78,False
Majaess_65,0.37,0.24,0.31,0.2,1.53,0.24,7.65,1.92,14.81,4.89,False
Mamajek_4,0.34,0.08,0.3,0.07,10.97,0.8,345.43,50.99,1.71,0.3,True
Markarian_38,0.41,0.26,0.37,0.22,1.15,0.52,4.34,2.95,3.36,2.6,False
Melotte_22,0.28,0.01,0.25,0.01,2.59,0.14,68.47,8.88,1.48,0.2,True
Melotte_72,0.52,0.14,0.49,0.14,2.17,0.26,20.43,4.21,61.19,13.13,False
NGC_1027,0.3,0.07,0.27,0.07,3.31,0.18,50.41,6.48,2.52,0.82,False
NGC_103,0.44,0.23,0.41,0.18,2.33,0.15,21.53,3.03,4.6,1.64,False
NGC_1220,0.48,0.07,0.42,0.07,0.67,0.15,1.96,0.69,18.2,11.37,False
NGC_129,0.31,0.05,0.27,0.05,5.36,0.34,116.62,16.02,0.79,0.13,False
NGC_1342,0.34,0.08,0.31,0.07,2.87,0.14,42.83,5.36,9.4,2.37,False
NGC_146,0.47,0.04,0.43,0.04,3.87,0.53,37.94,8.69,0.66,0.19,False
NGC_1496,0.42,0.18,0.36,0.16,0.95,0.12,4.21,0.93,83.2,28.8,False
NGC_1502,0.48,0.12,0.46,0.12,0.92,0.16,4.97,1.39,1.53,0.48,False
NGC_1513,0.38,0.1,0.35,0.09,2.19,0.14,26.01,3.6,6.53,2.94,False
NGC_1528,0.37,0.13,0.34,0.16,3.38,0.26,42.87,6.51,8.09,2.32,False
NGC_1545,0.33,0.11,0.3,0.1,3.26,0.26,43.96,6.76,3.04,1.73,False
NGC_1582,0.49,0.24,0.45,0.22,4.19,0.44,49.46,9.15,3.12,1.22,False
NGC_1605,0.43,0.23,0.41,0.04,1.93,0.22,15.62,3.14,4.03,4.01,False
NGC_1662,0.52,0.03,0.49,0.03,3.57,0.37,61.23,11.35,11.48,3.06,False
NGC_1664,0.41,0.03,0.38,0.03,2.4,0.16,28.42,3.96,19.51,3.23,False
NGC_1708,0.55,0.18,0.51,0.17,3.16,0.28,33.87,5.58,5.84,1.8,False
NGC_1750,0.4,0.02,0.36,0.02,4.66,0.25,92.25,11.92,1.67,0.61,False
NGC_1758,0.49,0.04,0.44,0.04,1.45,0.14,11.63,2.01,47.48,8.75,False
NGC_1778,0.5,0.03,0.44,0.03,3.16,0.22,35.83,5.13,2.72,0.9,False
NGC_1857,0.4,0.15,0.38,0.14,2.83,0.11,31.24,3.62,8.74,1.36,False
NGC_1883,0.69,0.04,0.63,0.04,2.22,0.17,18.23,2.8,23.24,6.08,False
NGC_189,0.38,0.17,0.35,0.17,1.27,0.25,5.12,1.61,125.02,48.44,False
NGC_1901,0.42,0.05,0.38,0.05,3.58,0.41,35.44,6.98,21.76,7.22,True
NGC_1907,0.44,0.16,0.42,0.16,1.42,0.11,12.07,1.87,54.11,11.06,False
NGC_1912,0.3,0.05,0.26,0.06,3.48,0.17,68.39,8.55,4.68,0.75,False
NGC_1960,0.29,0.08,0.27,0.07,1.49,0.11,14.92,2.2,1.89,0.31,False
NGC_2126,0.51,0.21,0.48,0.22,1.95,0.21,17.75,3.41,85.49,16.96,False
NGC_2129,0.48,0.16,0.43,0.17,1.16,0.19,4.82,1.28,4.72,1.95,False
NGC_2169,0.67,0.04,0.6,0.04,1.07,0.36,5.29,2.68,1.5,0.79,False
