Cluster,RA_ICRS,DE_ICRS,dist,e_dist,age,e_age,FeH,e_FeH,Av,e_Av,Nc,alpha_high_int,alpha_high_er_int,alpha_low_int,alpha_low_er_int,Mc_int,Mc_er_int,offset_int,offset_er_int,mass_total,e_mass_total,bin_frac,average_ratio,str_average_ratio,segr_ratio,segr_ratio_std,mass_seg,mass_seg_pval,bin_frac_05,n_members,rh,e_rh,t_relax,e_t_relax,tau,e_tau,bin_frac_corr,bin_frac_05_corr,n_systems,e_bin_frac,e_bin_frac_05
NGC_6134,246.9768,-49.1779,1.078,0.009,9.096,0.024,0.025,0.029,1.3,0.037,945,-1.82449,0.51621,1.8475,0.18837,-0.03244,0.02862,2.138,0.07678,1912,382,0.5068783068783069,0.63658,0.26008,1.34188,3.7676,0.22777,0.0,0.3354497354497354,1424.0,2.511434018240751,0.1131799945694503,41.86270295315138,5.049393739417362,29.79701324204728,3.953310808189488,0.4855754409654278,0.31508320405170415,945,0.01736129983487176,0.05292885426959387
NGC_6152,248.2352,-52.6212,1.534,0.026,8.309,0.098,0.04,0.027,1.283,0.045,563,-1.51321,0.30212,2.0217,0.23307,-0.06479,0.03056,1.94939,0.07092,1228,245,0.5719360568383659,0.58528,0.2535,1.41574,5.11188,0.25871,0.0,0.3641207815275311,885.0,4.499609910401542,0.28864838911355,84.16392867630607,11.665238495572227,2.4203267477450647,0.6409515948501046,0.4419284825047493,0.26014263200613674,563,0.04205452866242206,0.06036027462329552
NGC_6178,248.9343,-45.6412,0.849,0.018,7.123,0.068,0.026,0.085,0.868,0.096,67,-1.306,0.26571,1.8609,0.41839,-0.16844,0.04336,1.15678,0.07196,122,24,0.4626865671641791,0.63295,0.24948,1.22102,0.9311,0.2441,0.23194,0.2835820895522388,98.0,0.7352933725889315,0.1876198738150628,3.124880299083275,1.2348952097371604,4.247824974669106,1.8056228236495844,0.6094066275550407,0.40060337184809286,67,0.07228430234063278,0.06069274548359257
NGC_6192,250.0801,-43.3605,1.553,0.03,7.677,0.234,0.14,0.05,2.222,0.059,716,-1.96401,0.24318,1.70703,0.14544,0.07005,0.02196,2.26743,0.08085,1840,368,0.590782122905028,0.6224,0.2518,1.06988,2.78029,0.228,0.0,0.3868715083798882,1139.0,2.0196781570326885,0.0986706857085497,25.513951864525044,3.163138384187277,1.863040380677827,1.0300456644953373,0.4723895584978539,0.2961683130717319,716,0.0391673767934243,0.05863655245492877
NGC_6204,251.5269,-47.0291,1.129,0.016,8.013,0.073,0.07,0.029,1.523,0.024,299,-1.89852,0.32159,1.71246,0.22052,-0.01122,0.02886,1.85511,0.07934,628,125,0.5418060200668896,0.60121,0.24308,1.16831,1.29265,0.18563,0.01096,0.3612040133779264,461.0,1.1564505128320095,0.0952057919758529,8.986438543131461,1.4252551286416246,11.4660119856844,2.649814619407094,0.5044099134527319,0.34205232567591665,299,0.03061306610641367,0.05282967226415843
NGC_6208,252.3041,-53.7083,1.142,0.009,9.269,0.023,-0.228,0.04,1.082,0.067,452,-0.35769,0.5176,1.65804,0.20101,-0.10938,0.05698,1.89114,0.05391,1689,337,0.6216814159292036,0.58094,0.27086,1.70331,4.04134,0.30611,0.0,0.3561946902654867,733.0,2.816834908895207,0.1580914767361493,30.417480238636685,3.970608282712341,61.07686897522469,8.603957033480167,0.44028556837622135,0.26206704505158274,452,0.05620513308497824,0.058810933875020295
NGC_6242,253.8436,-39.4726,1.219,0.016,7.833,0.086,0.126,0.041,1.374,0.024,757,-1.7084,0.18678,1.70669,0.15657,-0.046,0.0216,2.04861,0.048,1529,305,0.4900924702774108,0.5295,0.26122,1.13987,2.30865,0.19888,0.0,0.2589167767503302,1128.0,2.11498570366498,0.1288796602304497,29.750564195558624,4.024862497823593,2.2882569695783177,0.5487781804362976,0.44932539383493575,0.27829558367514584,757,0.021601541249083606,0.052879745962585115
NGC_6249,254.4574,-44.8141,1.144,0.012,7.346,0.042,0.076,0.06,1.57,0.06,91,-1.3026,0.29931,1.62164,0.3127,0.01013,0.04641,1.54992,0.10201,297,59,0.6373626373626373,0.5342,0.25391,1.18993,1.07278,0.25628,0.11637,0.3406593406593406,149.0,0.8609412835390508,0.1294295195469858,3.4625794264470384,0.8532085288519276,6.406196498649899,1.6957630462189297,0.5256377458639769,0.35884863279071383,91,0.05965379633835918,0.052612010990986606
NGC_6253,254.78,-52.7072,1.594,0.023,9.525,0.014,0.036,0.055,1.036,0.055,615,-0.0,1.48965,1.76381,0.14907,0.04027,0.06347,2.06033,0.15725,2861,572,0.640650406504065,0.64765,0.25099,1.09202,1.32996,0.08163,0.28545,0.4032520325203252,1009.0,1.646542253202237,0.0764052066079141,13.61179163073488,1.6580641036283852,246.0847537523932,31.0077128031537,0.47221000616801984,0.2946299486807458,615,0.052114370044859776,0.06113253725459093
NGC_6268,255.5168,-39.7014,1.409,0.023,8.343,0.052,-0.044,0.045,1.562,0.05,230,-1.17757,0.2834,2.29396,0.31939,-0.01436,0.0318,1.78096,0.07442,536,107,0.4695652173913043,0.58549,0.21664,1.143,1.81216,0.2083,0.02016,0.3130434782608696,338.0,1.740972537385281,0.1229307076457551,14.006624738924527,2.038472830871778,15.727746720675002,2.964050550675916,0.5145894505929042,0.29073470771635923,230,0.0352616328448292,0.05298074154461954
NGC_637,25.7742,64.0411,2.316,0.088,7.265,0.054,-0.003,0.048,1.962,0.027,123,-1.17749,0.28176,1.22098,0.28782,0.12575,0.06157,1.68303,0.121,430,86,0.5609756097560976,0.61877,0.2619,0.66004,1.13935,0.2735,0.70242,0.3495934959349593,192.0,0.9891265406616404,0.2143582677748486,4.29972045036167,1.4623591597680663,4.281143443439721,1.5502952557785383,0.5339040619881945,0.34942364409216387,123,0.04523747529337504,0.052612010990986606
