pmRApmDEcor,PlxpmRAcor,PlxpmDEcor,Nper,RA_ICRS,e_RA_ICRS,DE_ICRS,e_DE_ICRS,Source,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BPRP,RVDR2,e_RVDR2,EBPRP,RFG,RFBP,RFRP,Pmemb,mass,er_mass,comp_mass,er_comp_mass,q,er_q,r/rh
0.4655,-0.1123,-0.0769,18,282.10340241239,0.0459,8.68798325403,0.0496,4287124140287189888,0.531,0.0515,-0.139,0.057,-1.484,0.061,0.975,16.635166,0.00283,17.485579,0.008574,15.730381,0.00332,1.755198,,,1.3,1682.297,133.913,603.49,1.0,1.4912599337278842,0.0180652645820174,1.0359669604262007,0.0567130101332991,0.6946924120977809,0.0389502613091582,0.317734422367964
0.2718,-0.196,0.0202,18,282.07395760737,0.0203,8.73396881031,0.0211,4287125205439138176,0.5233,0.0255,-0.205,0.026,-1.463,0.027,1.049,15.103226,0.002776,15.750955,0.003382,14.310098,0.003189,1.440857,,,1.273,3176.142,568.174,702.936,1.0,2.185583019907453,0.0009285340245343,0.0,0.0381590258102327,0.0,,0.3231223799333304
0.3363,-0.162,-0.0224,18,282.12909609014,0.0246,8.71446602711,0.0254,4287125686475420672,0.4642,0.0303,-0.255,0.029,-1.394,0.03,0.953,15.372037,0.00278,16.085052,0.003505,14.537647,0.002976,1.547405,,,1.284,2958.3,511.719,1049.859,0.99,1.922392896299524,0.0523853996426937,1.5217209579969804,0.0959855620348875,0.7915764570947957,0.0543904236942459,0.3275865798221206
0.3377,-0.0956,-0.0093,18,282.08994275896,0.02,8.74641817157,0.0211,4287126717267625472,0.4621,0.0246,-0.161,0.025,-1.472,0.027,1.109,15.021322,0.002783,15.722754,0.003487,14.192135,0.003123,1.53062,,,1.284,2792.166,519.194,773.633,1.0,2.0622753887491045,0.0514491362148751,1.662675847922523,0.1134040557916271,0.8062336664605385,0.0585528547958275,0.3294179590922413
0.4312,-0.0947,-0.0165,18,282.13085085143,0.1232,8.71554485334,0.1346,4287125682151321856,0.4026,0.1456,-0.137,0.151,-1.438,0.164,0.978,18.428362,0.003234,19.293974,0.021722,17.518833,0.008756,1.775141,,,1.3,641.207,50.4,130.814,0.99,1.076178947292097,0.0050315577906013,0.0,0.1018265666050387,0.0,,0.333946485292559
0.3505,-0.1493,-0.0282,18,282.12733145765,0.0268,8.70154506621,0.0285,4287125583396197632,0.4793,0.0331,-0.098,0.033,-1.674,0.035,1.046,15.587212,0.002795,16.319811,0.003463,14.740167,0.003135,1.579644,,,1.288,2323.278,529.253,760.102,0.99,1.852844892587005,0.0333264357961009,1.413075714121906,0.0625443457540505,0.7626519196374404,0.0364366292072602,0.33412358108245505
0.2499,0.0138,-0.1828,17,282.097301164,0.0204,8.68434202033,0.0212,4287124140287190528,0.4339,0.0239,0.203,0.027,-1.646,0.028,1.014,14.928386,0.002777,15.678264,0.003258,14.07202,0.002964,1.606244,,,1.29,3129.877,645.195,1085.739,0.6,2.1234810515900717,0.0438919649061363,1.6272451503256782,0.1098050941094219,0.7663101816270931,0.0540814956767697,0.34426613700469216
0.3749,-0.1189,-0.0491,18,282.12554015732,0.0169,8.69758174801,0.0182,4287125583396195328,0.4575,0.0211,0.06,0.021,-1.431,0.022,1.081,14.508785,0.002771,15.132985,0.003147,13.733081,0.002884,1.399904,,,1.268,3638.414,746.153,1488.31,1.0,2.1754755985226533,0.029848378852353,2.061774826638361,0.0458606924993409,0.947735211573274,0.0247686190323231,0.3578866794501944
0.4259,-0.0223,-0.0087,17,282.13170647901,0.0675,8.71021618649,0.0714,4287125686475415936,0.4654,0.074,0.344,0.077,-1.344,0.082,1.068,16.977743,0.002867,17.829916,0.007873,16.071888,0.004387,1.758028,,,1.3,1371.858,147.486,320.706,0.65,1.4432809594735037,0.0048841323863483,0.0,0.2064786468040496,0.0,,0.36324265000642647
0.3473,-0.0717,-0.084,18,282.1304242438,0.0271,8.73063188757,0.0289,4287125995713079808,0.4698,0.0338,-0.034,0.034,-1.366,0.036,1.065,15.743846,0.002786,16.486671,0.004049,14.886642,0.002947,1.60003,,,1.293,2649.26,369.989,1143.422,1.0,1.7997248365321703,0.0226425348276883,1.342413638818416,0.0487455909950588,0.7458993794879599,0.0286646565243211,0.3632984462419087
0.3988,-0.0423,0.0003,17,282.09914800629,0.025,8.75119695645,0.0271,4287126820346838272,0.4986,0.0313,-0.02,0.033,-1.458,0.037,0.885,15.648699,0.002786,16.353153,0.003657,14.81409,0.002961,1.539063,,,1.287,2627.762,459.15,1096.635,1.0,1.9195034172797103,0.0149050078701029,1.113142997191638,0.0771388429026066,0.5799119642981239,0.0404383754772057,0.36742048761745366
